timestamp (ms), cpu time (ms), memory usage (KB)
1669302164009, 280, 13038
1669302164020, 290, 13521
1669302164030, 310, 13521
1669302164041, 340, 13602
1669302164051, 360, 14087
1669302164064, 390, 14569
1669302164076, 420, 14569
1669302164086, 450, 14651
1669302164096, 480, 14651
1669302164107, 510, 14651
1669302164117, 540, 14651
1669302164127, 590, 15136
1669302164137, 610, 15136
1669302164147, 640, 15699
1669302164162, 680, 15699
1669302164173, 700, 15699
1669302164183, 700, 15699
1669302164193, 720, 15699
1669302164203, 740, 16184
1669302164213, 760, 16184
1669302164223, 780, 16184
1669302164235, 790, 16184
1669302164245, 810, 16184
1669302164256, 820, 16184
1669302164265, 840, 16184
1669302164275, 860, 16184
1669302164286, 880, 16184
1669302164298, 910, 16184
1669302164308, 920, 16667
1669302164319, 950, 16667
1669302164329, 970, 16667
1669302164340, 1000, 16667
1669302164351, 1020, 16667
1669302164361, 1050, 16667
1669302164373, 1070, 16667
1669302164383, 1100, 16748
1669302164393, 1110, 17233
1669302164403, 1120, 17233
1669302164414, 1150, 17233
1669302164424, 1170, 17233
1669302164434, 1190, 17233
1669302164444, 1210, 17233
1669302164455, 1230, 17233
1669302164465, 1230, 17233
1669302164474, 1240, 17233


, End, Start, Difference
Time (ms), 1669302164474, 1669302164009, 465
CPU Time (ms), 1240, 280, 960
Mem Usage (KB), 17233, 13038, 4194
