timestamp (ms), cpu time (ms), memory usage (KB)
1669301711002, 280, 13038
1669301711013, 310, 13604
1669301711023, 330, 13604
1669301711033, 340, 13604
1669301711044, 340, 14087
1669301711054, 350, 14087
1669301711064, 380, 14087
1669301711074, 400, 14569
1669301711084, 420, 14569
1669301711094, 420, 14569
1669301711105, 440, 14569
1669301711118, 460, 14569
1669301711128, 490, 14569
1669301711139, 510, 14569
1669301711149, 520, 14569
1669301711159, 520, 14569
1669301711167, 540, 14569


, End, Start, Difference
Time (ms), 1669301711167, 1669301711002, 165
CPU Time (ms), 540, 280, 260
Mem Usage (KB), 14569, 13038, 1530
