timestamp (ms), cpu time (ms), memory usage (KB)
1669301711019, 270, 13038
1669301711029, 280, 13604
1669301711039, 300, 13604
1669301711050, 320, 13604
1669301711060, 340, 14087
1669301711070, 340, 14087
1669301711081, 360, 14087
1669301711091, 380, 14569
1669301711102, 400, 14569
1669301711112, 410, 14569
1669301711122, 420, 14569
1669301711133, 440, 14569
1669301711143, 470, 14569
1669301711154, 480, 14569
1669301711164, 500, 14569
1669301711174, 520, 14569
1669301711184, 530, 14569
1669301711191, 550, 14569


, End, Start, Difference
Time (ms), 1669301711191, 1669301711019, 172
CPU Time (ms), 550, 270, 280
Mem Usage (KB), 14569, 13038, 1530
