timestamp (ms), cpu time (ms), memory usage (KB)
1669302312003, 280, 13038
1669302312014, 290, 13521
1669302312025, 310, 13521
1669302312036, 340, 13602
1669302312046, 360, 14087
1669302312056, 390, 14569
1669302312068, 420, 14569
1669302312079, 450, 14569
1669302312090, 470, 14651
1669302312103, 530, 14651
1669302312114, 560, 14651
1669302312126, 580, 14651
1669302312136, 600, 14651
1669302312147, 650, 15136
1669302312157, 680, 15136
1669302312167, 700, 15699
1669302312178, 710, 15699
1669302312188, 740, 15699
1669302312198, 750, 16184
1669302312208, 770, 16184
1669302312219, 780, 16184
1669302312229, 790, 16184
1669302312239, 810, 16184
1669302312249, 820, 16184
1669302312260, 840, 16184
1669302312270, 850, 16184
1669302312280, 890, 16666
1669302312290, 900, 16666
1669302312300, 920, 16666
1669302312310, 950, 16666
1669302312321, 970, 16666
1669302312331, 1000, 16666
1669302312341, 1040, 16666
1669302312352, 1060, 16748
1669302312362, 1070, 17232
1669302312373, 1100, 17232
1669302312383, 1120, 17232
1669302312394, 1160, 17232
1669302312404, 1160, 17232
1669302312415, 1170, 17232
1669302312425, 1180, 17232
1669302312435, 1190, 17232
1669302312438, 1200, 17232


, End, Start, Difference
Time (ms), 1669302312438, 1669302312003, 435
CPU Time (ms), 1200, 280, 920
Mem Usage (KB), 17232, 13038, 4194
