timestamp (ms), cpu time (ms), memory usage (KB)
1669302093002, 280, 13038
1669302093012, 290, 13521
1669302093022, 300, 13521
1669302093032, 330, 13602
1669302093045, 360, 14569
1669302093059, 400, 14569
1669302093069, 420, 14569
1669302093079, 450, 14651
1669302093089, 480, 14651
1669302093104, 530, 14651
1669302093116, 560, 14651
1669302093131, 620, 15136
1669302093144, 650, 15136
1669302093158, 700, 15699
1669302093168, 730, 16187
1669302093178, 740, 16187
1669302093188, 780, 16187
1669302093198, 780, 16187
1669302093208, 800, 16669
1669302093218, 810, 16669
1669302093228, 830, 16669
1669302093238, 830, 16669
1669302093248, 860, 16669
1669302093261, 890, 16669
1669302093271, 910, 16669
1669302093281, 930, 16748
1669302093291, 950, 16748
1669302093302, 980, 17232
1669302093313, 1000, 17232
1669302093323, 1030, 17232
1669302093334, 1060, 17232
1669302093345, 1080, 17232
1669302093357, 1110, 17232
1669302093367, 1120, 17232
1669302093378, 1140, 17715
1669302093388, 1170, 17715
1669302093398, 1190, 17715
1669302093409, 1210, 17715
1669302093419, 1240, 17715
1669302093429, 1250, 17715
1669302093440, 1270, 17715
1669302093452, 1290, 17715
1669302093463, 1300, 17715
1669302093464, 1300, 17715


, End, Start, Difference
Time (ms), 1669302093464, 1669302093002, 462
CPU Time (ms), 1300, 280, 1020
Mem Usage (KB), 17715, 13038, 4676
