timestamp (ms), cpu time (ms), memory usage (KB)
1669301468002, 300, 13038
1669301468013, 320, 13604
1669301468023, 340, 13604
1669301468033, 370, 13604
1669301468044, 380, 14088
1669301468055, 400, 14088
1669301468065, 410, 14088
1669301468075, 430, 14570
1669301468087, 460, 14570
1669301468098, 480, 14570
1669301468109, 510, 14570
1669301468120, 530, 14570
1669301468130, 540, 14570
1669301468140, 560, 14570
1669301468150, 560, 14570
1669301468160, 580, 14570
1669301468170, 580, 14570
1669301468175, 580, 14570


, End, Start, Difference
Time (ms), 1669301468175, 1669301468002, 173
CPU Time (ms), 580, 300, 280
Mem Usage (KB), 14570, 13038, 1532
