timestamp (ms), cpu time (ms), memory usage (KB)
1669301711004, 310, 13038
1669301711015, 330, 13604
1669301711025, 350, 13604
1669301711035, 370, 13604
1669301711045, 370, 14087
1669301711055, 390, 14087
1669301711065, 410, 14087
1669301711076, 420, 14569
1669301711087, 440, 14569
1669301711099, 470, 14569
1669301711109, 490, 14569
1669301711119, 510, 14569
1669301711129, 510, 14569
1669301711139, 540, 14569
1669301711149, 560, 14569
1669301711160, 590, 14569
1669301711170, 590, 14569
1669301711176, 600, 14569


, End, Start, Difference
Time (ms), 1669301711176, 1669301711004, 172
CPU Time (ms), 600, 310, 290
Mem Usage (KB), 14569, 13038, 1530
