timestamp (ms), cpu time (ms), memory usage (KB)
1669302312005, 280, 13038
1669302312015, 300, 13521
1669302312025, 320, 13521
1669302312035, 340, 14087
1669302312046, 370, 14569
1669302312056, 410, 14569
1669302312069, 440, 14569
1669302312079, 460, 14651
1669302312089, 500, 14651
1669302312099, 540, 14651
1669302312109, 570, 14651
1669302312120, 610, 14651
1669302312130, 630, 15136
1669302312140, 670, 15136
1669302312154, 720, 15699
1669302312164, 730, 15699
1669302312175, 740, 15699
1669302312185, 760, 15699
1669302312195, 780, 16184
1669302312205, 800, 16184
1669302312216, 820, 16184
1669302312226, 830, 16184
1669302312237, 850, 16184
1669302312247, 860, 16184
1669302312258, 890, 16184
1669302312274, 960, 16666
1669302312284, 990, 16666
1669302312294, 1010, 16666
1669302312305, 1050, 16666
1669302312316, 1070, 16666
1669302312326, 1090, 16666
1669302312336, 1120, 16666
1669302312346, 1150, 16666
1669302312356, 1170, 16666
1669302312367, 1210, 16666
1669302312377, 1230, 16748
1669302312387, 1250, 17239
1669302312398, 1270, 17239
1669302312411, 1300, 17239
1669302312422, 1340, 17239
1669302312433, 1380, 17239
1669302312443, 1410, 17239
1669302312454, 1420, 17239
1669302312467, 1440, 17239
1669302312470, 1470, 17239


, End, Start, Difference
Time (ms), 1669302312470, 1669302312005, 465
CPU Time (ms), 1470, 280, 1190
Mem Usage (KB), 17239, 13038, 4200
