timestamp (ms), cpu time (ms), memory usage (KB)
1669302093011, 270, 13038
1669302093021, 290, 13521
1669302093031, 310, 13521
1669302093051, 350, 13602
1669302093061, 380, 14087
1669302093071, 400, 14569
1669302093082, 430, 14569
1669302093092, 450, 14569
1669302093104, 480, 14651
1669302093114, 520, 14651
1669302093124, 550, 14651
1669302093134, 570, 14651
1669302093151, 630, 14651
1669302093164, 680, 15136
1669302093174, 710, 15136
1669302093185, 750, 15699
1669302093196, 780, 16187
1669302093206, 800, 16187
1669302093216, 810, 16187
1669302093226, 830, 16669
1669302093236, 850, 16669
1669302093247, 880, 16669
1669302093258, 880, 16669
1669302093268, 900, 16669
1669302093278, 930, 16669
1669302093288, 960, 16669
1669302093298, 970, 16669
1669302093309, 1000, 16748
1669302093321, 1020, 17232
1669302093331, 1040, 17232
1669302093341, 1050, 17232
1669302093352, 1100, 17232
1669302093362, 1110, 17232
1669302093372, 1150, 17232
1669302093383, 1190, 17232
1669302093393, 1210, 17715
1669302093404, 1240, 17715
1669302093414, 1260, 17715
1669302093424, 1280, 17715
1669302093436, 1290, 17715
1669302093446, 1300, 17715
1669302093456, 1310, 17715
1669302093457, 1310, 17715


, End, Start, Difference
Time (ms), 1669302093457, 1669302093011, 446
CPU Time (ms), 1310, 270, 1040
Mem Usage (KB), 17715, 13038, 4676
