timestamp (ms), cpu time (ms), memory usage (KB)
1669301468004, 310, 13038
1669301468014, 320, 13604
1669301468024, 340, 13604
1669301468035, 370, 13604
1669301468046, 390, 14087
1669301468056, 420, 14087
1669301468066, 430, 14087
1669301468077, 450, 14569
1669301468088, 470, 14569
1669301468098, 500, 14569
1669301468108, 520, 14569
1669301468120, 540, 14569
1669301468130, 560, 14569
1669301468141, 570, 14569
1669301468152, 590, 14569
1669301468163, 600, 14569


, End, Start, Difference
Time (ms), 1669301468163, 1669301468004, 159
CPU Time (ms), 600, 310, 290
Mem Usage (KB), 14569, 13038, 1530
