timestamp (ms), cpu time (ms), memory usage (KB)
1669302093011, 290, 13038
1669302093022, 310, 13521
1669302093032, 320, 13521
1669302093043, 350, 14087
1669302093053, 380, 14087
1669302093063, 410, 14569
1669302093073, 430, 14569
1669302093083, 450, 14569
1669302093093, 480, 14651
1669302093103, 510, 14651
1669302093113, 530, 14651
1669302093124, 580, 14651
1669302093134, 600, 14651
1669302093145, 640, 15136
1669302093155, 670, 15136
1669302093165, 690, 15136
1669302093175, 730, 15699
1669302093185, 750, 15699
1669302093195, 770, 16184
1669302093206, 780, 16184
1669302093216, 790, 16184
1669302093227, 810, 16184
1669302093237, 830, 16184
1669302093247, 840, 16184
1669302093257, 870, 16184
1669302093267, 890, 16184
1669302093277, 910, 16184
1669302093287, 920, 16666
1669302093298, 940, 16666
1669302093308, 960, 16666
1669302093318, 980, 16666
1669302093329, 1000, 16666
1669302093339, 1020, 16666
1669302093349, 1050, 16666
1669302093359, 1080, 16666
1669302093369, 1100, 16666
1669302093380, 1120, 16748
1669302093390, 1150, 16748
1669302093400, 1170, 17232
1669302093412, 1190, 17232
1669302093422, 1210, 17232
1669302093433, 1230, 17232
1669302093445, 1270, 17232
1669302093455, 1270, 17232
1669302093465, 1290, 17232
1669302093471, 1300, 17232


, End, Start, Difference
Time (ms), 1669302093471, 1669302093011, 460
CPU Time (ms), 1300, 290, 1010
Mem Usage (KB), 17232, 13038, 4194
