timestamp (ms), cpu time (ms), memory usage (KB)
1669301468006, 320, 13038
1669301468016, 330, 13604
1669301468027, 360, 13604
1669301468037, 380, 13604
1669301468047, 390, 14087
1669301468057, 420, 14087
1669301468068, 420, 14087
1669301468080, 450, 14569
1669301468090, 460, 14569
1669301468101, 480, 14569
1669301468111, 490, 14569
1669301468121, 500, 14569
1669301468132, 520, 14569
1669301468142, 550, 14569
1669301468152, 570, 14569
1669301468162, 610, 14569
1669301468172, 610, 14569
1669301468182, 610, 14569
1669301468192, 620, 14569
1669301468197, 630, 14569


, End, Start, Difference
Time (ms), 1669301468197, 1669301468006, 191
CPU Time (ms), 630, 320, 310
Mem Usage (KB), 14569, 13038, 1530
