timestamp (ms), cpu time (ms), memory usage (KB)
1669301355003, 400, 13038
1669301355014, 420, 13604
1669301355025, 430, 13604
1669301355035, 460, 13604
1669301355046, 480, 13604
1669301355056, 490, 14087
1669301355066, 510, 14087
1669301355076, 520, 14569
1669301355086, 540, 14569
1669301355097, 550, 14569
1669301355108, 560, 14569
1669301355119, 580, 14569
1669301355130, 600, 14569
1669301355140, 620, 14569
1669301355150, 630, 14569
1669301355162, 650, 14569
1669301355172, 660, 14569
1669301355182, 690, 14569
1669301355192, 700, 14569
1669301355198, 700, 14569


, End, Start, Difference
Time (ms), 1669301355198, 1669301355003, 195
CPU Time (ms), 700, 400, 300
Mem Usage (KB), 14569, 13038, 1530
