timestamp (ms), cpu time (ms), memory usage (KB)
1669302164007, 320, 13038
1669302164017, 340, 13521
1669302164028, 350, 13521
1669302164038, 380, 13602
1669302164049, 390, 14087
1669302164059, 430, 14569
1669302164069, 450, 14569
1669302164079, 480, 14569
1669302164092, 510, 14651
1669302164102, 560, 14651
1669302164113, 580, 14651
1669302164124, 610, 14651
1669302164134, 660, 14651
1669302164146, 690, 14651
1669302164156, 720, 15136
1669302164166, 760, 15136
1669302164176, 780, 15622
1669302164186, 810, 15699
1669302164196, 840, 15699
1669302164207, 840, 16184
1669302164217, 850, 16184
1669302164227, 860, 16184
1669302164240, 890, 16184
1669302164250, 920, 16184
1669302164261, 930, 16184
1669302164271, 950, 16184
1669302164281, 980, 16184
1669302164294, 1000, 16666
1669302164304, 1030, 16666
1669302164314, 1040, 16666
1669302164325, 1060, 16666
1669302164335, 1080, 16666
1669302164346, 1120, 16666
1669302164356, 1140, 16666
1669302164366, 1170, 16748
1669302164376, 1190, 17232
1669302164386, 1210, 17232
1669302164396, 1240, 17232
1669302164406, 1270, 17232
1669302164416, 1300, 17232
1669302164428, 1310, 17232
1669302164439, 1340, 17232
1669302164449, 1360, 17232
1669302164459, 1380, 17232
1669302164464, 1380, 17232


, End, Start, Difference
Time (ms), 1669302164464, 1669302164007, 457
CPU Time (ms), 1380, 320, 1060
Mem Usage (KB), 17232, 13038, 4194
