timestamp (ms), cpu time (ms), memory usage (KB)
1669297912004, 270, 13038
1669297912015, 300, 13604
1669297912025, 320, 13604
1669297912035, 350, 13604
1669297912045, 360, 13604
1669297912056, 370, 14087
1669297912067, 390, 14087
1669297912077, 400, 14569
1669297912087, 420, 14569
1669297912098, 450, 14569
1669297912110, 480, 14569
1669297912120, 510, 14569
1669297912130, 540, 14569
1669297912140, 550, 14569
1669297912150, 570, 14569
1669297912160, 590, 14569
1669297912171, 630, 14569
1669297912181, 660, 14569
1669297912192, 680, 14651
1669297912206, 720, 14651
1669297912216, 740, 14651
1669297912226, 750, 15135
1669297912237, 770, 15135


, End, Start, Difference
Time (ms), 1669297912237, 1669297912004, 233
CPU Time (ms), 770, 270, 500
Mem Usage (KB), 15135, 13038, 2097
