timestamp (ms), cpu time (ms), memory usage (KB)
1669298669011, 330, 13038
1669298669026, 350, 13521
1669298669035, 400, 13521
1669298669045, 420, 13521
1669298669055, 430, 13521
1669298669065, 450, 13602
1669298669075, 470, 14087
1669298669085, 490, 14087
1669298669095, 520, 14569
1669298669105, 540, 14569
1669298669115, 570, 14651
1669298669126, 590, 14651
1669298669136, 620, 14651
1669298669148, 670, 14651
1669298669158, 700, 14651
1669298669168, 730, 14651
1669298669178, 760, 14651
1669298669188, 790, 15136
1669298669199, 820, 15136
1669298669209, 830, 15136
1669298669219, 850, 15136
1669298669230, 860, 15136
1669298669240, 880, 15699
1669298669250, 890, 15699
1669298669260, 910, 16184
1669298669270, 930, 16184
1669298669280, 950, 16184
1669298669291, 960, 16184
1669298669301, 980, 16184
1669298669311, 1000, 16184
1669298669321, 1010, 16667
1669298669332, 1030, 16667
1669298669342, 1060, 16667
1669298669352, 1080, 16667
1669298669362, 1100, 16667
1669298669374, 1140, 16667
1669298669384, 1170, 16748
1669298669394, 1180, 16748
1669298669404, 1210, 17232
1669298669414, 1230, 17232
1669298669425, 1250, 17232
1669298669436, 1280, 17232
1669298669446, 1310, 17232
1669298669456, 1320, 17232
1669298669466, 1330, 17715
1669298669478, 1370, 17715
1669298669488, 1410, 17715
1669298669498, 1430, 17715
1669298669508, 1450, 17715
1669298669520, 1490, 17797
1669298669531, 1520, 18281
1669298669542, 1540, 18281
1669298669552, 1540, 18281
1669298669563, 1560, 18281
1669298669573, 1570, 18281
1669298669584, 1580, 18281
1669298669594, 1590, 18281
1669298669606, 1600, 18281
1669298669616, 1610, 18281
1669298669627, 1620, 18281


, End, Start, Difference
Time (ms), 1669298669627, 1669298669011, 616
CPU Time (ms), 1620, 330, 1290
Mem Usage (KB), 18281, 13038, 5243
