timestamp (ms), cpu time (ms), memory usage (KB)
1669297912011, 320, 13038
1669297912021, 340, 13604
1669297912031, 370, 13604
1669297912041, 390, 13604
1669297912051, 410, 14087
1669297912061, 420, 14087
1669297912071, 450, 14087
1669297912081, 460, 14569
1669297912091, 480, 14569
1669297912101, 510, 14569
1669297912111, 530, 14569
1669297912121, 550, 14569
1669297912132, 570, 14569
1669297912145, 600, 14569
1669297912155, 640, 14569
1669297912165, 650, 14569
1669297912175, 670, 14569
1669297912186, 690, 14651
1669297912199, 720, 14651
1669297912212, 730, 14651
1669297912223, 750, 14651
1669297912233, 780, 15135
1669297912243, 780, 15135
1669297912244, 780, 15135


, End, Start, Difference
Time (ms), 1669297912244, 1669297912011, 233
CPU Time (ms), 780, 320, 460
Mem Usage (KB), 15135, 13038, 2097
