timestamp (ms), cpu time (ms), memory usage (KB)
1669298599010, 280, 13038
1669298599020, 290, 13521
1669298599030, 300, 13521
1669298599040, 330, 13602
1669298599050, 340, 14087
1669298599061, 380, 14087
1669298599071, 410, 14569
1669298599082, 420, 14651
1669298599096, 450, 14651
1669298599110, 500, 14651
1669298599122, 530, 14651
1669298599134, 570, 14651
1669298599144, 610, 14651
1669298599156, 650, 15136
1669298599167, 690, 15136
1669298599177, 710, 15136
1669298599187, 740, 15136
1669298599198, 760, 15699
1669298599208, 780, 15699
1669298599218, 800, 16184
1669298599228, 810, 16184
1669298599239, 830, 16184
1669298599249, 830, 16184
1669298599259, 850, 16184
1669298599270, 870, 16184
1669298599280, 870, 16184
1669298599290, 900, 16184
1669298599301, 920, 16667
1669298599311, 940, 16667
1669298599322, 960, 16667
1669298599332, 980, 16667
1669298599342, 1010, 16667
1669298599352, 1030, 16667
1669298599367, 1070, 17232
1669298599377, 1090, 17232
1669298599387, 1110, 17232
1669298599397, 1130, 17232
1669298599407, 1150, 17232
1669298599417, 1180, 17232
1669298599427, 1200, 17232
1669298599438, 1230, 17715
1669298599448, 1250, 17715
1669298599458, 1290, 17715
1669298599468, 1310, 17715
1669298599479, 1330, 17715
1669298599489, 1360, 17715
1669298599499, 1380, 17715
1669298599509, 1390, 17715
1669298599519, 1420, 17797
1669298599530, 1450, 18281
1669298599541, 1460, 18281
1669298599554, 1490, 18281
1669298599565, 1510, 18281
1669298599575, 1530, 18281
1669298599585, 1530, 18281
1669298599595, 1550, 18281
1669298599596, 1550, 18281


, End, Start, Difference
Time (ms), 1669298599596, 1669298599010, 586
CPU Time (ms), 1550, 280, 1270
Mem Usage (KB), 18281, 13038, 5242
