timestamp (ms), cpu time (ms), memory usage (KB)
1669298371002, 320, 13038
1669298371012, 340, 13521
1669298371022, 340, 13521
1669298371032, 360, 13521
1669298371042, 370, 13602
1669298371052, 370, 13602
1669298371064, 390, 14087
1669298371074, 420, 14569
1669298371084, 430, 14569
1669298371095, 450, 14569
1669298371105, 450, 14569
1669298371115, 460, 14569
1669298371125, 490, 14651
1669298371135, 530, 14651
1669298371145, 540, 14651
1669298371156, 580, 14651
1669298371166, 600, 14651
1669298371176, 640, 14651
1669298371186, 670, 15136
1669298371196, 720, 15136
1669298371206, 740, 15136
1669298371217, 750, 15136
1669298371227, 780, 15699
1669298371237, 790, 15699
1669298371247, 800, 16184
1669298371257, 820, 16184
1669298371267, 820, 16184
1669298371277, 820, 16184
1669298371287, 830, 16184
1669298371297, 840, 16184
1669298371307, 860, 16184
1669298371317, 880, 16667
1669298371327, 900, 16667
1669298371338, 920, 16667
1669298371349, 940, 16667
1669298371359, 960, 16667
1669298371369, 970, 16667
1669298371379, 1000, 16667
1669298371390, 1020, 16748
1669298371400, 1040, 16748
1669298371411, 1060, 17232
1669298371421, 1080, 17232
1669298371431, 1110, 17232
1669298371445, 1140, 17232
1669298371458, 1170, 17232
1669298371468, 1210, 17715
1669298371478, 1250, 17715
1669298371489, 1280, 17715
1669298371499, 1310, 17715
1669298371509, 1330, 17715
1669298371519, 1340, 17715
1669298371529, 1370, 17797
1669298371540, 1400, 17797
1669298371550, 1420, 18281
1669298371560, 1450, 18281
1669298371570, 1480, 18281
1669298371580, 1500, 18763
1669298371590, 1510, 18763
1669298371600, 1510, 18763
1669298371610, 1530, 18763
1669298371620, 1540, 18763
1669298371630, 1550, 18763
1669298371640, 1550, 18763
1669298371650, 1550, 18763
1669298371660, 1550, 18763
1669298371667, 1550, 18763


, End, Start, Difference
Time (ms), 1669298371667, 1669298371002, 665
CPU Time (ms), 1550, 320, 1230
Mem Usage (KB), 18763, 13038, 5725
