timestamp (ms), cpu time (ms), memory usage (KB)
1669297705003, 400, 13038
1669297705013, 420, 13604
1669297705023, 450, 13604
1669297705033, 470, 13604
1669297705043, 480, 14087
1669297705053, 500, 14087
1669297705065, 510, 14087
1669297705078, 540, 14569
1669297705088, 560, 14569
1669297705100, 580, 14569
1669297705110, 610, 14569
1669297705121, 630, 14569
1669297705131, 660, 14569
1669297705141, 690, 14569
1669297705151, 720, 14569
1669297705161, 740, 14651
1669297705171, 760, 14651
1669297705181, 780, 14651
1669297705192, 780, 15135
1669297705202, 790, 15135
1669297705212, 790, 15135
1669297705223, 800, 15135
1669297705227, 800, 15135


, End, Start, Difference
Time (ms), 1669297705227, 1669297705003, 224
CPU Time (ms), 800, 400, 400
Mem Usage (KB), 15135, 13038, 2097
