timestamp (ms), cpu time (ms), memory usage (KB)
1669298442002, 270, 13038
1669298442012, 290, 13521
1669298442022, 300, 13521
1669298442032, 320, 13604
1669298442044, 350, 14569
1669298442057, 400, 14569
1669298442071, 420, 14651
1669298442081, 460, 14651
1669298442095, 510, 14651
1669298442107, 560, 15135
1669298442123, 590, 15135
1669298442141, 620, 15135
1669298442154, 650, 15135
1669298442164, 680, 15135
1669298442174, 700, 15135
1669298442186, 730, 15699
1669298442196, 750, 16184
1669298442206, 760, 16184
1669298442216, 780, 16184
1669298442226, 800, 16184
1669298442237, 810, 16184
1669298442247, 830, 16184
1669298442258, 840, 16184
1669298442268, 860, 16667
1669298442278, 880, 16667
1669298442289, 890, 16667
1669298442299, 910, 16667
1669298442310, 940, 16667
1669298442320, 960, 16667
1669298442330, 990, 16667
1669298442341, 1000, 16748
1669298442351, 1030, 17232
1669298442361, 1050, 17232
1669298442372, 1080, 17232
1669298442382, 1110, 17232
1669298442393, 1120, 17232
1669298442403, 1140, 17232
1669298442413, 1170, 17715
1669298442427, 1230, 17715
1669298442437, 1260, 17715
1669298442448, 1280, 17715
1669298442458, 1330, 17715
1669298442468, 1350, 17797
1669298442479, 1380, 18281
1669298442490, 1410, 18281
1669298442500, 1440, 18281
1669298442512, 1470, 18281
1669298442522, 1480, 18764
1669298442533, 1500, 18764
1669298442543, 1520, 18764
1669298442554, 1520, 18764
1669298442564, 1520, 18764
1669298442574, 1520, 18764
1669298442584, 1520, 18764
1669298442594, 1530, 18764
1669298442599, 1530, 18764


, End, Start, Difference
Time (ms), 1669298442599, 1669298442002, 597
CPU Time (ms), 1530, 270, 1260
Mem Usage (KB), 18764, 13038, 5725
