timestamp (ms), cpu time (ms), memory usage (KB)
1669298094004, 290, 13038
1669298094015, 300, 13604
1669298094025, 330, 13604
1669298094035, 360, 13604
1669298094045, 370, 14087
1669298094056, 380, 14087
1669298094066, 390, 14087
1669298094077, 410, 14569
1669298094087, 420, 14569
1669298094097, 440, 14569
1669298094107, 470, 14569
1669298094117, 480, 14569
1669298094127, 490, 14569
1669298094137, 520, 14569
1669298094147, 540, 14569
1669298094157, 570, 14569
1669298094169, 590, 14569
1669298094179, 630, 14569
1669298094189, 640, 14569
1669298094199, 670, 14569
1669298094209, 690, 14569
1669298094222, 720, 14651
1669298094233, 740, 14651
1669298094243, 750, 14651
1669298094253, 770, 15135
1669298094262, 790, 15135


, End, Start, Difference
Time (ms), 1669298094262, 1669298094004, 258
CPU Time (ms), 790, 290, 500
Mem Usage (KB), 15135, 13038, 2097
