timestamp (ms), cpu time (ms), memory usage (KB)
1669297912002, 380, 13038
1669297912012, 400, 13604
1669297912023, 420, 13604
1669297912033, 440, 13604
1669297912043, 450, 13604
1669297912054, 470, 14087
1669297912065, 490, 14087
1669297912074, 510, 14569
1669297912084, 520, 14569
1669297912095, 530, 14569
1669297912105, 560, 14569
1669297912116, 570, 14569
1669297912126, 590, 14569
1669297912136, 610, 14569
1669297912147, 640, 14569
1669297912157, 670, 14569
1669297912168, 690, 14569
1669297912179, 720, 14569
1669297912189, 740, 14569
1669297912205, 780, 14569
1669297912215, 810, 14569
1669297912225, 840, 14651
1669297912236, 850, 14651
1669297912247, 870, 14651
1669297912257, 890, 15135
1669297912266, 910, 15135


, End, Start, Difference
Time (ms), 1669297912266, 1669297912002, 264
CPU Time (ms), 910, 380, 530
Mem Usage (KB), 15135, 13038, 2097
