timestamp (ms), cpu time (ms), memory usage (KB)
1669298669012, 300, 13038
1669298669023, 320, 13521
1669298669033, 340, 13521
1669298669043, 350, 13521
1669298669053, 360, 13521
1669298669063, 390, 13521
1669298669074, 400, 14087
1669298669085, 440, 14087
1669298669095, 480, 14569
1669298669106, 500, 14569
1669298669117, 520, 14569
1669298669128, 560, 14651
1669298669138, 580, 14651
1669298669149, 600, 14651
1669298669159, 630, 14651
1669298669170, 650, 14651
1669298669181, 700, 14651
1669298669191, 740, 15136
1669298669201, 770, 15136
1669298669211, 800, 15136
1669298669221, 830, 15136
1669298669232, 850, 15699
1669298669242, 860, 15699
1669298669252, 880, 15699
1669298669262, 900, 16184
1669298669273, 910, 16184
1669298669283, 920, 16184
1669298669294, 940, 16184
1669298669304, 960, 16184
1669298669314, 960, 16184
1669298669324, 990, 16184
1669298669334, 1010, 16184
1669298669345, 1010, 16667
1669298669355, 1030, 16667
1669298669365, 1060, 16667
1669298669375, 1090, 16667
1669298669387, 1110, 16667
1669298669397, 1140, 16667
1669298669407, 1170, 16748
1669298669417, 1190, 17232
1669298669428, 1220, 17232
1669298669438, 1240, 17232
1669298669448, 1260, 17232
1669298669459, 1280, 17232
1669298669469, 1300, 17232
1669298669480, 1330, 17232
1669298669490, 1350, 17232
1669298669500, 1380, 17715
1669298669510, 1410, 17715
1669298669520, 1430, 17715
1669298669530, 1450, 17715
1669298669542, 1480, 17715
1669298669552, 1500, 17797
1669298669562, 1520, 17797
1669298669574, 1550, 18282
1669298669584, 1570, 18282
1669298669594, 1580, 18282
1669298669605, 1590, 18282
1669298669617, 1610, 18282
1669298669627, 1620, 18282
1669298669638, 1650, 18282
1669298669648, 1660, 18282


, End, Start, Difference
Time (ms), 1669298669648, 1669298669012, 636
CPU Time (ms), 1660, 300, 1360
Mem Usage (KB), 18282, 13038, 5243
