timestamp (ms), cpu time (ms), memory usage (KB)
1669297912004, 380, 13038
1669297912015, 400, 13604
1669297912026, 420, 13604
1669297912036, 450, 13604
1669297912050, 480, 13604
1669297912061, 480, 14087
1669297912071, 490, 14087
1669297912081, 510, 14569
1669297912092, 520, 14569
1669297912104, 540, 14569
1669297912114, 570, 14569
1669297912124, 580, 14569
1669297912134, 620, 14569
1669297912144, 640, 14569
1669297912154, 660, 14569
1669297912164, 680, 14569
1669297912174, 700, 14569
1669297912184, 720, 14569
1669297912194, 750, 14651
1669297912204, 760, 14651
1669297912216, 780, 14651
1669297912226, 800, 14651
1669297912236, 820, 15135
1669297912246, 840, 15135
1669297912255, 850, 15135


, End, Start, Difference
Time (ms), 1669297912255, 1669297912004, 251
CPU Time (ms), 850, 380, 470
Mem Usage (KB), 15135, 13038, 2097
