timestamp (ms), cpu time (ms), memory usage (KB)
1669298599011, 290, 13038
1669298599022, 310, 13521
1669298599032, 330, 13602
1669298599043, 350, 14087
1669298599056, 370, 14087
1669298599066, 390, 14569
1669298599076, 410, 14569
1669298599086, 430, 14651
1669298599099, 470, 14651
1669298599109, 500, 14651
1669298599120, 540, 14651
1669298599131, 590, 14651
1669298599142, 610, 15135
1669298599152, 650, 15135
1669298599162, 680, 15135
1669298599172, 700, 15135
1669298599182, 720, 15135
1669298599192, 760, 15699
1669298599202, 770, 15699
1669298599212, 790, 16184
1669298599222, 800, 16184
1669298599233, 810, 16184
1669298599243, 830, 16184
1669298599253, 860, 16184
1669298599263, 880, 16184
1669298599273, 890, 16184
1669298599284, 900, 16667
1669298599297, 930, 16667
1669298599307, 950, 16667
1669298599317, 970, 16667
1669298599328, 990, 16667
1669298599338, 1000, 16748
1669298599349, 1030, 16748
1669298599360, 1060, 17232
1669298599370, 1090, 17232
1669298599380, 1100, 17232
1669298599392, 1150, 17232
1669298599402, 1160, 17232
1669298599412, 1180, 17232
1669298599422, 1210, 17715
1669298599432, 1240, 17715
1669298599442, 1250, 17715
1669298599452, 1280, 17715
1669298599462, 1310, 17715
1669298599472, 1340, 17715
1669298599482, 1370, 17797
1669298599494, 1400, 18282
1669298599505, 1420, 18282
1669298599515, 1430, 18282
1669298599525, 1450, 18282
1669298599536, 1470, 18282
1669298599546, 1500, 18282
1669298599556, 1520, 18282
1669298599567, 1530, 18282
1669298599577, 1540, 18764
1669298599587, 1550, 18764
1669298599597, 1550, 18764
1669298599607, 1550, 18764
1669298599611, 1550, 18764


, End, Start, Difference
Time (ms), 1669298599611, 1669298599011, 600
CPU Time (ms), 1550, 290, 1260
Mem Usage (KB), 18764, 13038, 5725
