timestamp (ms), cpu time (ms), memory usage (KB)
1669298018002, 330, 13038
1669298018013, 350, 13604
1669298018023, 370, 14092
1669298018033, 400, 14092
1669298018043, 410, 14092
1669298018054, 420, 14092
1669298018064, 430, 14092
1669298018078, 460, 14651
1669298018089, 480, 14651
1669298018101, 500, 14651
1669298018112, 510, 14651
1669298018123, 540, 14651
1669298018133, 570, 14651
1669298018143, 600, 14651
1669298018153, 620, 14651
1669298018163, 660, 14651
1669298018173, 710, 14651
1669298018185, 730, 14651
1669298018195, 760, 14651
1669298018205, 770, 14651
1669298018215, 780, 14651
1669298018225, 800, 14651
1669298018235, 810, 15135
1669298018245, 820, 15135
1669298018255, 820, 15135
1669298018266, 820, 15135
1669298018267, 820, 15135


, End, Start, Difference
Time (ms), 1669298018267, 1669298018002, 265
CPU Time (ms), 820, 330, 490
Mem Usage (KB), 15135, 13038, 2097
