timestamp (ms), cpu time (ms), memory usage (KB)
1669298669007, 310, 13038
1669298669019, 320, 13521
1669298669029, 330, 13521
1669298669039, 350, 13521
1669298669049, 360, 13521
1669298669059, 380, 13521
1669298669070, 410, 13602
1669298669080, 430, 14087
1669298669090, 460, 14569
1669298669100, 480, 14569
1669298669110, 500, 14651
1669298669120, 520, 14651
1669298669130, 570, 14651
1669298669140, 600, 14651
1669298669150, 640, 14651
1669298669160, 660, 14651
1669298669172, 700, 15135
1669298669183, 720, 15135
1669298669193, 740, 15135
1669298669203, 760, 15135
1669298669213, 770, 15135
1669298669224, 800, 15699
1669298669234, 820, 15699
1669298669244, 830, 16185
1669298669254, 840, 16185
1669298669264, 850, 16185
1669298669275, 860, 16185
1669298669285, 870, 16185
1669298669295, 900, 16185
1669298669305, 910, 16185
1669298669315, 930, 16185
1669298669326, 940, 16668
1669298669336, 950, 16668
1669298669346, 970, 16668
1669298669356, 990, 16668
1669298669367, 1010, 16668
1669298669378, 1040, 16668
1669298669388, 1050, 16668
1669298669399, 1060, 16748
1669298669414, 1100, 17232
1669298669424, 1120, 17232
1669298669435, 1130, 17232
1669298669445, 1160, 17232
1669298669455, 1190, 17232
1669298669466, 1210, 17232
1669298669476, 1240, 17232
1669298669486, 1260, 17715
1669298669497, 1300, 17715
1669298669508, 1310, 17715
1669298669518, 1350, 17715
1669298669528, 1390, 17715
1669298669539, 1430, 17797
1669298669550, 1460, 18281
1669298669560, 1470, 18281
1669298669570, 1490, 18281
1669298669581, 1520, 18281
1669298669591, 1540, 18281
1669298669604, 1580, 18281
1669298669614, 1600, 18281
1669298669624, 1620, 18281
1669298669634, 1640, 18763
1669298669645, 1660, 18763
1669298669657, 1700, 18763
1669298669658, 1700, 18763


, End, Start, Difference
Time (ms), 1669298669658, 1669298669007, 651
CPU Time (ms), 1700, 310, 1390
Mem Usage (KB), 18763, 13038, 5725
