timestamp (ms), cpu time (ms), memory usage (KB)
1669631472002, 290, 13038
1669631472012, 300, 13604
1669631472022, 300, 13604
1669631472032, 330, 13604
1669631472042, 350, 13604
1669631472053, 360, 14087
1669631472063, 360, 14087
1669631472073, 360, 14569
1669631472084, 380, 14569
1669631472094, 380, 14569
1669631472105, 400, 14569
1669631472116, 410, 14569
1669631472126, 410, 14569
1669631472131, 440, 14569


, End, Start, Difference
Time (ms), 1669631472131, 1669631472002, 129
CPU Time (ms), 440, 290, 150
Mem Usage (KB), 14569, 13038, 1530
