timestamp (ms), cpu time (ms), memory usage (KB)
1669631693008, 260, 13038
1669631693018, 270, 13521
1669631693028, 300, 13521
1669631693039, 320, 14087
1669631693049, 340, 14087
1669631693062, 380, 14569
1669631693072, 410, 14569
1669631693083, 430, 14569
1669631693097, 470, 14651
1669631693107, 500, 14651
1669631693117, 530, 14651
1669631693128, 570, 14651
1669631693138, 610, 15622
1669631693148, 630, 15622
1669631693158, 640, 15622
1669631693169, 680, 15622
1669631693180, 710, 15699
1669631693190, 720, 15699
1669631693200, 740, 16184
1669631693214, 760, 16184
1669631693224, 780, 16184
1669631693237, 800, 16184
1669631693248, 830, 16184
1669631693259, 850, 16184
1669631693269, 880, 16184
1669631693279, 890, 16184
1669631693290, 910, 16184
1669631693300, 920, 16184
1669631693310, 930, 16666
1669631693312, 940, 16666


, End, Start, Difference
Time (ms), 1669631693312, 1669631693008, 304
CPU Time (ms), 940, 260, 680
Mem Usage (KB), 16666, 13038, 3628
