timestamp (ms), cpu time (ms), memory usage (KB)
1669631661003, 270, 13038
1669631661013, 280, 13521
1669631661023, 300, 13521
1669631661033, 320, 13521
1669631661043, 340, 14087
1669631661053, 370, 14087
1669631661064, 390, 14569
1669631661074, 420, 14569
1669631661088, 470, 14651
1669631661098, 510, 14651
1669631661111, 550, 14651
1669631661127, 600, 14651
1669631661138, 650, 15622
1669631661148, 690, 15622
1669631661159, 720, 15699
1669631661170, 740, 15699
1669631661181, 770, 16184
1669631661191, 780, 16184
1669631661201, 800, 16184
1669631661211, 820, 16184
1669631661227, 850, 16184
1669631661240, 890, 16184
1669631661250, 900, 16184
1669631661260, 920, 16184
1669631661270, 940, 16666
1669631661283, 960, 16666
1669631661284, 980, 16666


, End, Start, Difference
Time (ms), 1669631661284, 1669631661003, 281
CPU Time (ms), 980, 270, 710
Mem Usage (KB), 16666, 13038, 3628
