timestamp (ms), cpu time (ms), memory usage (KB)
1669631472002, 260, 13038
1669631472013, 270, 13604
1669631472023, 270, 13604
1669631472034, 280, 13604
1669631472044, 300, 13604
1669631472054, 310, 14088
1669631472064, 320, 14088
1669631472075, 330, 14570
1669631472085, 350, 14570
1669631472095, 350, 14570
1669631472106, 380, 14570
1669631472116, 390, 14570
1669631472127, 410, 14570
1669631472129, 410, 14570


, End, Start, Difference
Time (ms), 1669631472129, 1669631472002, 127
CPU Time (ms), 410, 260, 150
Mem Usage (KB), 14570, 13038, 1532
