timestamp (ms), cpu time (ms), memory usage (KB)
1669631441002, 270, 13038
1669631441013, 270, 13604
1669631441023, 270, 13604
1669631441033, 290, 13604
1669631441043, 310, 14087
1669631441054, 320, 14087
1669631441064, 330, 14087
1669631441074, 330, 14569
1669631441084, 330, 14569
1669631441095, 350, 14569
1669631441106, 370, 14569
1669631441117, 380, 14569
1669631441123, 380, 14569


, End, Start, Difference
Time (ms), 1669631441123, 1669631441002, 121
CPU Time (ms), 380, 270, 110
Mem Usage (KB), 14569, 13038, 1530
