timestamp (ms), cpu time (ms), memory usage (KB)
1669631693002, 270, 13038
1669631693012, 290, 13521
1669631693023, 310, 13602
1669631693033, 340, 14087
1669631693043, 360, 14569
1669631693054, 390, 14569
1669631693065, 420, 14651
1669631693075, 460, 14651
1669631693086, 500, 14651
1669631693101, 540, 14651
1669631693111, 580, 15699
1669631693121, 620, 15699
1669631693132, 640, 15699
1669631693144, 650, 15699
1669631693155, 650, 15699
1669631693165, 650, 15699
1669631693175, 660, 15699
1669631693185, 690, 15699
1669631693195, 700, 16184
1669631693205, 740, 16184
1669631693216, 760, 16184
1669631693226, 770, 16184
1669631693238, 790, 16184
1669631693248, 810, 16184
1669631693258, 830, 16184
1669631693268, 860, 16184
1669631693279, 880, 16184
1669631693289, 900, 16184
1669631693300, 920, 16667
1669631693310, 940, 16667
1669631693322, 970, 16667
1669631693331, 980, 16667


, End, Start, Difference
Time (ms), 1669631693331, 1669631693002, 329
CPU Time (ms), 980, 270, 710
Mem Usage (KB), 16667, 13038, 3629
