timestamp (ms), cpu time (ms), memory usage (KB)
1669631601002, 270, 13038
1669631601013, 290, 13521
1669631601023, 300, 13521
1669631601033, 300, 13521
1669631601043, 320, 13602
1669631601053, 330, 13602
1669631601063, 340, 14087
1669631601074, 360, 14087
1669631601084, 370, 14569
1669631601094, 380, 14569
1669631601104, 400, 14569
1669631601114, 410, 14569
1669631601124, 420, 14651
1669631601137, 470, 14651
1669631601147, 510, 14651
1669631601159, 540, 14651
1669631601169, 560, 14651
1669631601182, 600, 14651
1669631601194, 660, 15622
1669631601204, 690, 15622
1669631601215, 720, 15622
1669631601226, 720, 15699
1669631601236, 730, 15699
1669631601246, 740, 16185
1669631601257, 750, 16185
1669631601267, 780, 16185
1669631601277, 780, 16185
1669631601287, 810, 16185
1669631601298, 830, 16185
1669631601308, 860, 16185
1669631601318, 880, 16185
1669631601328, 880, 16185
1669631601335, 890, 16668


, End, Start, Difference
Time (ms), 1669631601335, 1669631601002, 333
CPU Time (ms), 890, 270, 620
Mem Usage (KB), 16668, 13038, 3629
