timestamp (ms), cpu time (ms), memory usage (KB)
1669631601002, 280, 13038
1669631601012, 290, 13521
1669631601022, 310, 13602
1669631601033, 330, 14087
1669631601043, 350, 14569
1669631601053, 380, 14569
1669631601063, 390, 14651
1669631601073, 430, 14651
1669631601084, 480, 14651
1669631601094, 500, 15137
1669631601104, 540, 15620
1669631601114, 550, 15620
1669631601124, 560, 15699
1669631601135, 590, 15699
1669631601145, 600, 16185
1669631601156, 610, 16185
1669631601170, 640, 16185
1669631601180, 660, 16185
1669631601190, 670, 16185
1669631601201, 690, 16185
1669631601211, 710, 16185
1669631601222, 740, 16185
1669631601232, 760, 16185
1669631601243, 760, 16185
1669631601253, 780, 16185
1669631601264, 780, 16185
1669631601274, 780, 16185
1669631601284, 800, 16185
1669631601294, 810, 16185
1669631601304, 830, 16667
1669631601314, 830, 16667
1669631601323, 840, 16667


, End, Start, Difference
Time (ms), 1669631601323, 1669631601002, 321
CPU Time (ms), 840, 280, 560
Mem Usage (KB), 16667, 13038, 3629
