timestamp (ms), cpu time (ms), memory usage (KB)
1669631503002, 270, 13038
1669631503012, 280, 13604
1669631503022, 280, 13604
1669631503032, 300, 13604
1669631503042, 320, 14087
1669631503052, 330, 14087
1669631503062, 340, 14087
1669631503072, 350, 14569
1669631503082, 360, 14569
1669631503093, 360, 14569
1669631503103, 360, 14569
1669631503113, 360, 14569
1669631503115, 370, 14569


, End, Start, Difference
Time (ms), 1669631503115, 1669631503002, 113
CPU Time (ms), 370, 270, 100
Mem Usage (KB), 14569, 13038, 1530
