timestamp (ms), cpu time (ms), memory usage (KB)
1669631693002, 310, 13038
1669631693012, 330, 13521
1669631693022, 350, 13602
1669631693032, 360, 14087
1669631693042, 390, 14569
1669631693053, 420, 14569
1669631693063, 440, 14651
1669631693073, 470, 14651
1669631693083, 500, 14651
1669631693093, 530, 14651
1669631693103, 570, 14651
1669631693114, 610, 15620
1669631693125, 620, 15620
1669631693135, 620, 15620
1669631693149, 650, 15620
1669631693160, 670, 15699
1669631693170, 720, 15699
1669631693180, 750, 16185
1669631693190, 760, 16185
1669631693200, 780, 16185
1669631693211, 800, 16185
1669631693221, 820, 16185
1669631693232, 850, 16185
1669631693242, 880, 16185
1669631693255, 910, 16185
1669631693266, 930, 16185
1669631693276, 950, 16185
1669631693286, 970, 16185
1669631693296, 980, 16185
1669631693306, 980, 16185
1669631693312, 990, 16667


, End, Start, Difference
Time (ms), 1669631693312, 1669631693002, 310
CPU Time (ms), 990, 310, 680
Mem Usage (KB), 16667, 13038, 3629
