timestamp (ms), cpu time (ms), memory usage (KB)
1669631693007, 280, 13038
1669631693019, 300, 13521
1669631693029, 320, 13521
1669631693039, 340, 13602
1669631693053, 370, 14087
1669631693063, 390, 14087
1669631693077, 440, 14569
1669631693087, 470, 14569
1669631693097, 500, 14651
1669631693107, 530, 14651
1669631693117, 560, 14651
1669631693127, 600, 14651
1669631693137, 620, 14651
1669631693147, 660, 15620
1669631693158, 700, 15620
1669631693168, 710, 15699
1669631693178, 740, 16185
1669631693188, 750, 16185
1669631693199, 770, 16185
1669631693209, 790, 16185
1669631693222, 830, 16185
1669631693232, 850, 16185
1669631693242, 860, 16185
1669631693253, 880, 16185
1669631693263, 900, 16185
1669631693275, 910, 16185
1669631693284, 940, 16185
1669631693294, 950, 16667
1669631693305, 960, 16667
1669631693306, 970, 16667


, End, Start, Difference
Time (ms), 1669631693306, 1669631693007, 299
CPU Time (ms), 970, 280, 690
Mem Usage (KB), 16667, 13038, 3629
