timestamp (ms), cpu time (ms), memory usage (KB)
1669635203002, 280, 13038
1669635203012, 310, 13604
1669635203022, 320, 13604
1669635203032, 340, 14087
1669635203043, 360, 14087
1669635203054, 380, 14087
1669635203064, 400, 14087
1669635203074, 400, 14569
1669635203085, 420, 14569
1669635203095, 450, 14569
1669635203105, 460, 14569
1669635203115, 500, 14569
1669635203125, 510, 14569
1669635203127, 510, 14569


, End, Start, Difference
Time (ms), 1669635203127, 1669635203002, 125
CPU Time (ms), 510, 280, 230
Mem Usage (KB), 14569, 13038, 1530
