timestamp (ms), cpu time (ms), memory usage (KB)
1669635578002, 260, 13038
1669635578012, 280, 13521
1669635578022, 290, 13602
1669635578032, 320, 14087
1669635578042, 340, 14569
1669635578053, 360, 14569
1669635578063, 390, 14651
1669635578079, 450, 14651
1669635578091, 490, 14651
1669635578103, 520, 14651
1669635578116, 560, 14651
1669635578126, 600, 15136
1669635578136, 620, 15136
1669635578147, 650, 15136
1669635578157, 690, 15622
1669635578167, 720, 15699
1669635578178, 740, 15699
1669635578188, 760, 15699
1669635578198, 780, 16184
1669635578208, 800, 16184
1669635578219, 830, 16184
1669635578229, 840, 16184
1669635578239, 850, 16184
1669635578250, 870, 16184
1669635578259, 900, 16184
1669635578270, 920, 16184
1669635578281, 940, 16667
1669635578291, 960, 16667
1669635578302, 970, 16667
1669635578312, 970, 16667
1669635578322, 990, 16667
1669635578332, 1010, 16667
1669635578342, 1050, 16667
1669635578352, 1080, 16667
1669635578363, 1100, 16748
1669635578373, 1130, 17232
1669635578384, 1150, 17232
1669635578394, 1160, 17232
1669635578404, 1170, 17232
1669635578415, 1170, 17232
1669635578418, 1170, 17232


, End, Start, Difference
Time (ms), 1669635578418, 1669635578002, 416
CPU Time (ms), 1170, 260, 910
Mem Usage (KB), 17232, 13038, 4194
