timestamp (ms), cpu time (ms), memory usage (KB)
1669635520002, 260, 13038
1669635520013, 270, 13521
1669635520023, 290, 13521
1669635520033, 310, 13602
1669635520045, 330, 14087
1669635520058, 350, 14569
1669635520068, 390, 14569
1669635520080, 400, 14651
1669635520090, 430, 14651
1669635520100, 470, 14651
1669635520111, 500, 14651
1669635520121, 540, 14651
1669635520136, 590, 14651
1669635520146, 620, 15136
1669635520156, 640, 15136
1669635520166, 670, 15699
1669635520176, 700, 15699
1669635520186, 710, 16185
1669635520197, 740, 16185
1669635520207, 760, 16185
1669635520217, 780, 16185
1669635520228, 790, 16185
1669635520238, 810, 16185
1669635520248, 810, 16185
1669635520258, 850, 16185
1669635520268, 880, 16185
1669635520279, 890, 16185
1669635520289, 910, 16185
1669635520299, 930, 16668
1669635520309, 950, 16668
1669635520320, 970, 16668
1669635520331, 1000, 16668
1669635520341, 1020, 16668
1669635520351, 1040, 16668
1669635520362, 1060, 16668
1669635520373, 1080, 16668
1669635520383, 1090, 16668
1669635520393, 1100, 16668
1669635520403, 1100, 16668
1669635520410, 1110, 16748


, End, Start, Difference
Time (ms), 1669635520410, 1669635520002, 408
CPU Time (ms), 1110, 260, 850
Mem Usage (KB), 16748, 13038, 3709
