timestamp (ms), cpu time (ms), memory usage (KB)
1669635385003, 260, 13038
1669635385014, 270, 13604
1669635385025, 300, 13604
1669635385035, 310, 13604
1669635385045, 320, 14087
1669635385055, 340, 14087
1669635385065, 360, 14087
1669635385076, 370, 14569
1669635385086, 390, 14569
1669635385096, 400, 14569
1669635385106, 410, 14569
1669635385116, 420, 14569
1669635385118, 420, 14569


, End, Start, Difference
Time (ms), 1669635385118, 1669635385003, 115
CPU Time (ms), 420, 260, 160
Mem Usage (KB), 14569, 13038, 1530
