timestamp (ms), cpu time (ms), memory usage (KB)
1669635477012, 270, 13038
1669635477022, 280, 13521
1669635477032, 310, 13521
1669635477043, 320, 14087
1669635477053, 350, 14569
1669635477063, 370, 14569
1669635477073, 400, 14569
1669635477084, 440, 14569
1669635477099, 480, 14651
1669635477109, 510, 14651
1669635477119, 540, 14651
1669635477130, 580, 14651
1669635477141, 620, 15699
1669635477152, 650, 15699
1669635477162, 650, 15699
1669635477172, 660, 15699
1669635477182, 690, 15699
1669635477195, 700, 16184
1669635477205, 730, 16184
1669635477216, 740, 16184
1669635477226, 760, 16184
1669635477236, 770, 16184
1669635477246, 800, 16184
1669635477256, 830, 16184
1669635477267, 860, 16184
1669635477277, 880, 16184
1669635477288, 900, 16668
1669635477298, 910, 16668
1669635477308, 910, 16668
1669635477318, 920, 16668
1669635477328, 920, 16668
1669635477338, 930, 16668
1669635477348, 930, 16668
1669635477358, 950, 16668
1669635477368, 950, 16668
1669635477375, 950, 16668


, End, Start, Difference
Time (ms), 1669635477375, 1669635477012, 363
CPU Time (ms), 950, 270, 680
Mem Usage (KB), 16668, 13038, 3630
