timestamp (ms), cpu time (ms), memory usage (KB)
1669635203008, 310, 13038
1669635203018, 330, 13604
1669635203029, 330, 13604
1669635203039, 350, 13604
1669635203049, 370, 13604
1669635203060, 390, 14087
1669635203070, 400, 14087
1669635203080, 410, 14569
1669635203090, 410, 14569
1669635203101, 430, 14569
1669635203111, 460, 14569
1669635203123, 470, 14569
1669635203134, 480, 14569
1669635203135, 480, 14569


, End, Start, Difference
Time (ms), 1669635203135, 1669635203008, 127
CPU Time (ms), 480, 310, 170
Mem Usage (KB), 14569, 13038, 1530
