timestamp (ms), cpu time (ms), memory usage (KB)
1669635578012, 270, 13038
1669635578023, 280, 13521
1669635578032, 290, 13521
1669635578042, 310, 13521
1669635578053, 340, 13602
1669635578063, 350, 14087
1669635578076, 380, 14569
1669635578089, 430, 14569
1669635578100, 450, 14569
1669635578110, 480, 14651
1669635578123, 520, 14651
1669635578136, 550, 14651
1669635578148, 590, 14651
1669635578158, 630, 15136
1669635578171, 670, 15622
1669635578183, 730, 15699
1669635578193, 730, 16184
1669635578212, 790, 16184
1669635578222, 830, 16184
1669635578235, 850, 16184
1669635578245, 880, 16184
1669635578256, 900, 16184
1669635578266, 930, 16184
1669635578279, 960, 16184
1669635578289, 970, 16675
1669635578299, 990, 16675
1669635578309, 1000, 16675
1669635578320, 1020, 16675
1669635578330, 1050, 16675
1669635578340, 1080, 16675
1669635578351, 1080, 16675
1669635578362, 1090, 16675
1669635578372, 1090, 16675
1669635578382, 1100, 16675
1669635578392, 1100, 16675
1669635578402, 1100, 16675
1669635578409, 1100, 16675


, End, Start, Difference
Time (ms), 1669635578409, 1669635578012, 397
CPU Time (ms), 1100, 270, 830
Mem Usage (KB), 16675, 13038, 3636
