timestamp (ms), cpu time (ms), memory usage (KB)
1669635357013, 260, 13038
1669635357025, 290, 13604
1669635357038, 310, 13604
1669635357048, 330, 13604
1669635357058, 340, 14087
1669635357068, 360, 14087
1669635357078, 380, 14087
1669635357089, 390, 14569
1669635357099, 420, 14569
1669635357109, 440, 14569
1669635357119, 460, 14569
1669635357130, 480, 14569
1669635357132, 480, 14569


, End, Start, Difference
Time (ms), 1669635357132, 1669635357013, 119
CPU Time (ms), 480, 260, 220
Mem Usage (KB), 14569, 13038, 1530
