timestamp (ms), cpu time (ms), memory usage (KB)
1669635520010, 280, 13038
1669635520020, 300, 13521
1669635520032, 320, 13521
1669635520042, 330, 13604
1669635520052, 360, 14087
1669635520062, 390, 14569
1669635520076, 420, 14569
1669635520086, 440, 14569
1669635520097, 470, 14569
1669635520107, 490, 14651
1669635520117, 540, 14651
1669635520129, 570, 14651
1669635520139, 600, 14651
1669635520149, 650, 14651
1669635520159, 680, 15135
1669635520169, 710, 15135
1669635520179, 740, 15622
1669635520189, 760, 15699
1669635520204, 800, 16184
1669635520214, 810, 16184
1669635520224, 820, 16184
1669635520234, 840, 16184
1669635520244, 860, 16184
1669635520255, 880, 16184
1669635520265, 910, 16184
1669635520275, 940, 16184
1669635520288, 970, 16184
1669635520299, 990, 16666
1669635520309, 1020, 16666
1669635520319, 1040, 16666
1669635520330, 1050, 16666
1669635520341, 1080, 16666
1669635520351, 1100, 16666
1669635520361, 1120, 16666
1669635520371, 1140, 16666
1669635520381, 1150, 16666
1669635520391, 1170, 16666
1669635520401, 1170, 16666
1669635520411, 1170, 16666
1669635520414, 1170, 16748


, End, Start, Difference
Time (ms), 1669635520414, 1669635520010, 404
CPU Time (ms), 1170, 280, 890
Mem Usage (KB), 16748, 13038, 3709
