timestamp (ms), cpu time (ms), memory usage (KB)
1669635295002, 300, 13038
1669635295015, 320, 13604
1669635295025, 350, 13604
1669635295035, 360, 14087
1669635295046, 360, 14087
1669635295056, 380, 14087
1669635295066, 390, 14087
1669635295077, 410, 14569
1669635295087, 430, 14569
1669635295099, 460, 14569
1669635295109, 470, 14569
1669635295120, 500, 14569
1669635295130, 500, 14569
1669635295135, 500, 14569


, End, Start, Difference
Time (ms), 1669635295135, 1669635295002, 133
CPU Time (ms), 500, 300, 200
Mem Usage (KB), 14569, 13038, 1530
