timestamp (ms), cpu time (ms), memory usage (KB)
1669635520015, 290, 13038
1669635520026, 300, 13521
1669635520040, 330, 13602
1669635520052, 360, 14087
1669635520063, 390, 14569
1669635520074, 420, 14569
1669635520086, 450, 14651
1669635520096, 490, 14651
1669635520106, 510, 14651
1669635520116, 540, 14651
1669635520130, 600, 14651
1669635520140, 650, 15135
1669635520150, 680, 15135
1669635520161, 720, 15699
1669635520171, 750, 15699
1669635520182, 750, 16184
1669635520192, 790, 16184
1669635520202, 800, 16184
1669635520214, 830, 16184
1669635520224, 850, 16184
1669635520234, 870, 16184
1669635520244, 880, 16184
1669635520254, 910, 16184
1669635520264, 920, 16184
1669635520274, 940, 16184
1669635520284, 950, 16667
1669635520294, 970, 16667
1669635520305, 1000, 16667
1669635520316, 1030, 16667
1669635520326, 1050, 16667
1669635520337, 1070, 16667
1669635520347, 1110, 16667
1669635520357, 1130, 16748
1669635520368, 1150, 16748
1669635520378, 1150, 17233
1669635520388, 1160, 17233
1669635520398, 1160, 17233
1669635520408, 1160, 17233
1669635520415, 1160, 17233


, End, Start, Difference
Time (ms), 1669635520415, 1669635520015, 400
CPU Time (ms), 1160, 290, 870
Mem Usage (KB), 17233, 13038, 4194
