timestamp (ms), cpu time (ms), memory usage (KB)
1669635357002, 280, 13038
1669635357012, 290, 13604
1669635357022, 310, 13604
1669635357032, 330, 14088
1669635357042, 340, 14088
1669635357053, 360, 14088
1669635357063, 370, 14088
1669635357074, 380, 14570
1669635357084, 390, 14570
1669635357094, 420, 14570
1669635357104, 430, 14570
1669635357114, 450, 14570
1669635357125, 460, 14570
1669635357127, 470, 14570


, End, Start, Difference
Time (ms), 1669635357127, 1669635357002, 125
CPU Time (ms), 470, 280, 190
Mem Usage (KB), 14570, 13038, 1532
