timestamp (ms), cpu time (ms), memory usage (KB)
1669635295003, 300, 13038
1669635295014, 320, 13604
1669635295024, 330, 13604
1669635295036, 330, 13604
1669635295046, 330, 13604
1669635295056, 350, 13604
1669635295066, 370, 13604
1669635295077, 400, 14569
1669635295088, 410, 14569
1669635295098, 430, 14569
1669635295108, 450, 14569
1669635295118, 450, 14569
1669635295128, 460, 14569
1669635295138, 460, 14569
1669635295140, 460, 14569


, End, Start, Difference
Time (ms), 1669635295140, 1669635295003, 137
CPU Time (ms), 460, 300, 160
Mem Usage (KB), 14569, 13038, 1530
