timestamp (ms), cpu time (ms), memory usage (KB)
1669635578002, 290, 13038
1669635578013, 300, 13521
1669635578024, 320, 13521
1669635578034, 350, 13602
1669635578044, 360, 14087
1669635578054, 400, 14087
1669635578064, 420, 14569
1669635578077, 450, 14569
1669635578087, 470, 14651
1669635578097, 510, 14651
1669635578107, 530, 14651
1669635578118, 570, 14651
1669635578128, 600, 14651
1669635578139, 640, 15139
1669635578149, 690, 15699
1669635578159, 700, 16184
1669635578169, 730, 16184
1669635578179, 760, 16184
1669635578190, 790, 16184
1669635578200, 810, 16184
1669635578211, 840, 16184
1669635578222, 860, 16184
1669635578232, 890, 16184
1669635578242, 900, 16666
1669635578255, 930, 16666
1669635578266, 940, 16666
1669635578276, 980, 16666
1669635578286, 980, 16666
1669635578296, 990, 16666
1669635578306, 1000, 16666
1669635578316, 1010, 16666
1669635578326, 1020, 16666
1669635578337, 1020, 16666
1669635578347, 1020, 16666
1669635578357, 1020, 16666
1669635578368, 1020, 16666
1669635578373, 1020, 16666


, End, Start, Difference
Time (ms), 1669635578373, 1669635578002, 371
CPU Time (ms), 1020, 290, 730
Mem Usage (KB), 16666, 13038, 3628
